source,target,value
新北市,男,1952341
新北市,女,2026867
臺北市,男,1289510
臺北市,女,1406194
桃園市,男,1071564
桃園市,女,1076199
臺中市,男,1366312
臺中市,女,1400927
臺南市,男,943082
臺南市,女,942951
高雄市,男,1379043
高雄市,女,1400328
宜蘭縣,男,231722
宜蘭縣,女,225816
新竹縣,男,280030
新竹縣,女,267451
苗栗縣,男,288469
苗栗縣,女,270720
彰化縣,男,656749
彰化縣,女,630397
南投縣,男,258990
南投縣,女,246173
雲林縣,男,360980
雲林縣,女,333893
嘉義縣,男,268109
嘉義縣,女,247211
屏東縣,男,427747
屏東縣,女,408045
臺東縣,男,114205
臺東縣,女,106597
花蓮縣,男,168375
花蓮縣,女,162536
澎湖縣,男,53152
澎湖縣,女,50111
基隆市,男,186524
基隆市,女,185576
新竹市,男,216206
新竹市,女,221131
嘉義市,男,131410
嘉義市,女,138464
福建省,男,74750
福建省,女,72959
金門縣,男,67572
金門縣,女,67542
連江縣,男,7178
連江縣,女,5417
男,0～4,550649
男,5～9,506111
男,10～14,579306
男,15～19,747320
男,20～24,834607
男,25～29,829814
男,30～34,895355
男,35～39,1000692
男,40～44,903230
男,45～49,901383
男,50～54,924716
男,55～59,861044
男,60～64,752645
男,65～69,533682
男,70～74,307929
男,75～79,256390
男,80～84,167699
男,85～89,114543
男,90～94,42154
男,95～99,8597
男,100＋,1404
女,0～4,512414
女,5～9,465155
女,10～14,528246
女,15～19,687456
女,20～24,773542
女,25～29,772223
女,30～34,892212
女,35～39,1022480
女,40～44,930523
女,45～49,918614
女,50～54,946932
女,55～59,895613
女,60～64,801429
女,65～69,584539
女,70～74,356058
女,75～79,323404
女,80～84,220018
女,85～89,127228
女,90～94,49388
女,95～99,11408
女,100＋,1664
0～4,台灣,1063063
5～9,台灣,971266
10～14,台灣,1107552
15～19,台灣,1434776
20～24,台灣,1608149
25～29,台灣,1602037
30～34,台灣,1787567
35～39,台灣,2023172
40～44,台灣,1833753
45～49,台灣,1819997
50～54,台灣,1871648
55～59,台灣,1756657
60～64,台灣,1554074
65～69,台灣,1118221
70～74,台灣,663987
75～79,台灣,579794
80～84,台灣,387717
85～89,台灣,241771
90～94,台灣,91542
95～99,台灣,20005
100＋,台灣,3068
